name,calories_100g,protein_100g,fat_100g,carbs_100g
apple_pie,405.00,4.00,17.00,56.00
baby_back_ribs,618.00,37.00,33.00,31.00
baklava,291.00,4.00,17.00,29.00
beef_carpaccio,222.00,18.00,14.00,4.00
beef_tartare,283.00,24.00,19.00,6.00
beet_salad,272.00,8.00,16.00,26.00
beignets,282.00,5.00,16.00,36.00
bibimbap,392.00,16.00,19.00,50.00
bread_pudding,474.00,10.00,27.00,56.00
breakfast_burrito,389.00,18.00,23.00,26.00
bruschetta,347.00,9.00,16.00,31.00
caesar_salad,304.00,15.00,22.00,9.00
cannoli,179.00,4.00,11.00,21.00
caprese_salad,305.00,19.00,17.00,12.00
carrot_cake,369.00,5.00,17.00,38.00
ceviche,177.00,17.00,8.00,13.00
cheesecake,295.00,4.00,18.00,32.00
cheese_plate,415.00,16.00,29.00,26.00
chicken_curry,395.00,34.00,16.00,22.00
chicken_quesadilla,541.00,29.00,30.00,42.00
chicken_wings,384.00,23.00,25.00,8.00
chocolate_cake,483.00,6.00,30.00,46.00
chocolate_mousse,370.00,5.00,25.00,31.00
churros,176.00,3.00,13.00,16.00
clam_chowder,363.00,10.00,21.00,34.00
club_sandwich,500.00,26.00,29.00,38.00
crab_cakes,234.00,14.00,14.00,9.00
creme_brulee,426.00,6.00,36.00,26.00
croque_madame,702.00,37.00,44.00,33.00
cup_cakes,366.00,4.00,16.00,46.00
deviled_eggs,82.00,4.00,6.00,2.00
donuts,265.00,4.00,8.00,45.00
dumplings,425.00,11.00,13.00,27.00
edamame,311.00,11.00,13.00,30.00
eggs_benedict,591.00,19.00,39.00,29.00
escargots,360.00,10.00,21.00,12.00
falafel,254.00,7.00,8.00,24.00
filet_mignon,213.00,4.00,15.00,10.00
fish_and_chips,462.00,36.00,10.00,55.00
foie_gras,561.00,15.00,26.00,26.00
french_fries,312.00,7.00,14.00,32.00
french_onion_soup,431.00,18.00,20.00,42.00
french_toast,422.00,11.00,21.00,48.00
fried_calamari,413.00,25.00,13.00,46.00
fried_rice,362.00,13.00,10.00,48.00
frozen_yogurt,252.00,11.00,5.00,29.00
garlic_bread,242.00,5.00,14.00,17.00
gnocchi,470.00,20.00,19.00,55.00
greek_salad,317.00,9.00,20.00,14.00
grilled_cheese_sandwich,670.00,26.00,38.00,38.00
grilled_salmon,299.00,31.00,13.00,8.00
guacamole,280.00,4.00,23.00,20.00
gyoza,117.00,4.00,3.00,6.00
hamburger,539.00,27.00,25.00,32.00
hot_and_sour_soup,234.00,14.00,8.00,21.00
hot_dog,411.00,13.00,21.00,44.00
huevos_rancheros,404.00,18.00,25.00,34.00
hummus,317.00,9.00,18.00,30.00
ice_cream,472.00,8.00,30.00,45.00
lasagna,417.00,26.00,22.00,36.00
lobster_bisque,406.00,15.00,26.00,14.00
lobster_roll_sandwich,203.00,11.00,10.00,17.00
macaroni_and_cheese,543.00,26.00,25.00,46.00
macarons,116.00,1.00,5.00,14.00
miso_soup,101.00,7.00,3.00,11.00
mussels,408.00,21.00,22.00,16.00
nachos,471.00,20.00,24.00,36.00
omelette,308.00,20.00,21.00,9.00
onion_rings,318.00,8.00,12.00,46.00
oysters,223.00,3.00,8.00,8.00
pad_thai,500.00,23.00,21.00,57.00
paella,417.00,30.00,14.00,48.00
pancakes,392.00,9.00,17.00,53.00
panna_cotta,340.00,5.00,26.00,24.00
peking_duck,550.00,17.00,26.00,15.00
pho,391.00,28.00,8.00,57.00
pizza,394.00,20.00,22.00,42.00
pork_chop,378.00,30.00,18.00,18.00
poutine,533.00,17.00,28.00,27.00
prime_rib,385.00,23.00,23.00,5.00
pulled_pork_sandwich,415.00,34.00,9.00,43.00
ramen,358.00,15.00,19.00,38.00
ravioli,433.00,18.00,18.00,48.00
red_velvet_cake,406.00,6.00,20.00,52.00
risotto,449.00,13.00,14.00,63.00
samosa,161.00,5.00,9.00,21.00
sashimi,189.00,14.00,11.00,10.00
scallops,275.00,17.00,15.00,19.00
seaweed_salad,536.00,29.00,34.00,33.00
shrimp_and_grits,589.00,37.00,31.00,36.00
spaghetti_bolognese,614.00,32.00,22.00,61.00
spaghetti_carbonara,519.00,22.00,23.00,56.00
spring_rolls,252.00,9.00,7.00,23.00
steak,475.00,35.00,30.00,22.00
strawberry_shortcake,348.00,6.00,19.00,39.00
sushi,250.00,8.00,6.00,28.00
tacos,321.00,21.00,14.00,30.00
takoyaki,273.00,12.00,7.00,39.00
tiramisu,511.00,8.00,30.00,39.00
tuna_tartare,237.00,15.00,14.00,11.00
waffles,433.00,10.00,21.00,54.00
